nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,firedrake_git_commit,source_cells,source_dofs,target_dofs,found_target_points,missing_target_points,local_time_s_min,local_time_s_median,local_time_s_max,candidate_roots_min,candidate_roots_median,candidate_roots_max,candidate_leaves_min,candidate_leaves_median,candidate_leaves_max,candidate_input_peers_min,candidate_input_peers_median,candidate_input_peers_max,partition_boxes_min,partition_boxes_median,partition_boxes_max,partition_box_volume_sum_min,partition_box_volume_sum_median,partition_box_volume_sum_max,parent_owned_cells_min,parent_owned_cells_median,parent_owned_cells_max,parent_halo_cells_min,parent_halo_cells_median,parent_halo_cells_max,vom_owned_points_min,vom_owned_points_median,vom_owned_points_max,vom_halo_points_min,vom_halo_points_median,vom_halo_points_max,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9
128,711462.pbs-6,3,197536.96484375,124.446866704,c4d102d626b982d8035afd36f6c935d6a43bae86,5476038,24897088,25672375,25672375,0,3.581296973,3.5841509885000002,3.584576929,189614,200771.0,210897,316152,463367.5,700485,5,12.0,24,1,8.0,8,0.014495881876641466,0.02202103053338928,0.031031924906291735,42354,42851.5,43208,2169,3797.0,5259,194890,200593.5,208454,0,0.0,0,3.623032607,3.593491303,3.566565645,3.708463885,3.530465659,3.663994742,3.596423167,3.518152526,3.632105729,3.584576929
512,711464.pbs-6,3,201512.4453125,1294.032497455,c4d102d626b982d8035afd36f6c935d6a43bae86,22343250,101194696,105154048,105154048,0,5.541162504,5.5443931325,5.552958426,188375,205374.0,221844,327675,530964.0,962731,6,16.0,30,1,8.0,64,0.004035581215803428,0.006067201503809877,0.013077775166996748,43203,43672.0,44075,1981,4362.0,5827,199785,205227.5,213273,0,0.0,0,5.407365321,5.387559418,5.329994961,5.480300692,5.553941145,5.370175374,5.47709102,5.344873847,5.333529728,5.552958426
256,711497.pbs-6,3,202754.640625,388.951219918,c4d102d626b982d8035afd36f6c935d6a43bae86,11165202,50653000,53157376,53157376,0,6.472158892,6.4755258455,6.477363678,193939,207436.5,220017,326345,515234.0,751642,5,14.0,27,1,8.0,64,0.008270338503504,0.011736464776902374,0.015909788286857702,43178,43615.0,44050,2067,4113.5,5562,202718,207539.0,214182,0,0.0,0,11.503788478,5.109618381,5.338905374,5.148003823,5.345563305,5.13348244,5.268130424,5.200942392,9.81412339,6.477363678
1024,711465.pbs-6,3,202627.609375,2996.604237935,c4d102d626b982d8035afd36f6c935d6a43bae86,45177216,204336469,210644875,210644875,0,5.578919007,5.5821192065,5.594405497,187843,205794.5,221678,328434,522921.5,2139268,6,16.0,43,1,8.0,64,0.0017764706882336463,0.0029538340742377724,0.01314423624510196,42944,44134.5,44559,1914,4714.5,7268,199219,205625.5,215580,0,0.0,0,5.728700449,5.525906377,5.891169473,11.432857777,5.459679774,5.794121638,6.074678708,5.769971582,5.90175331,5.594405497
