nprocs,pbs_job_id,degree,dofs_per_core,total_dofs,mesh_gen_time_s,run0,run1,run2,run3
1,552347.pbs-6,1,10149303.5,10000000,9806.594290757,198.512596233,138.586082325,140.534125831,137.855720692
2,552347.pbs-6,1,5074651.75,10000000,6229.260574871,105.48744925,74.66672118,75.522912574,75.631120612
4,552347.pbs-6,1,2537325.875,10000000,3610.83484452,61.858132816,45.647221868,45.677037466,45.647716217
8,552347.pbs-6,1,1268662.9375,10000000,2358.604347938,30.943819275,22.33450618,22.386438584,22.247078047
16,552347.pbs-6,1,634331.46875,10000000,1705.385730792,17.147604128,11.643263296,11.922582872,11.845855115
32,552347.pbs-6,1,317165.734375,10000000,1614.140904009,11.264206888,7.30717747,7.269637652,7.296637483
64,552347.pbs-6,1,158582.8671875,10000000,1662.502219872,7.593606262,4.128938297,4.064396146,4.124501677
