nprocs,pbs_job_id,degree,dofs_per_core,total_dofs,mesh_gen_time_s,run0,run1,run2,run3
1,552346.pbs-6,1,985149.5,1000000,912.030349149,18.30247882,11.720933163,11.834154371,11.788859892
2,552346.pbs-6,1,492574.75,1000000,567.877665008,10.602683674,6.823418454,6.840386204,6.766070496
4,552346.pbs-6,1,246287.375,1000000,326.876458244,5.854895529,3.650627731,3.646972954,3.623202332
8,552346.pbs-6,1,123143.6875,1000000,210.21267764,3.485321453,1.94775211,1.939193601,1.929130999
16,552346.pbs-6,1,61571.84375,1000000,155.460632877,2.612930278,1.079729149,1.00033922,1.004215928
32,552346.pbs-6,1,30785.921875,1000000,145.36262825,1.860135682,0.645583517,0.592101985,0.635713484
64,552346.pbs-6,1,15392.9609375,1000000,149.140162625,2.106471699,0.360274529,0.377403648,0.376986872
128,552346.pbs-6,1,7696.48046875,1000000,158.273522234,2.598263261,0.229566134,0.279466996,0.351415338
256,552346.pbs-6,1,3848.240234375,1000000,178.459646585,3.416318067,0.736609215,0.730273123,0.728760903
