nprocs,pbs_job_id,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,552477.pbs-6,3,211046.5,7.10680627,3.396896013,2.036495367,2.051923866,1.997421703
2,552477.pbs-6,3,206998.25,8.724719876,3.276576545,2.151479637,2.172655815,2.148032172
4,552477.pbs-6,3,198019.375,9.990635534,3.337725936,2.115458593,2.148764218,2.103715374
8,552477.pbs-6,3,197744.1875,12.510257677,3.293824835,2.191595223,2.176906081,2.198720378
16,552477.pbs-6,3,196575.53125,18.180094376,3.419703959,2.373545896,2.331487721,2.382094904
32,552477.pbs-6,3,199511.046875,33.7857431,4.283549412,2.87846517,2.894601778,2.886719513
64,552477.pbs-6,3,198945.6484375,73.431296409,5.511812538,3.540239238,3.451252248,3.512540497
128,552477.pbs-6,3,197536.96484375,159.412492699,6.424748722,3.69772708,3.729005219,3.643253146
256,552477.pbs-6,3,202754.640625,429.408692773,7.658998362,3.906515314,3.869047321,3.973815083
