nprocs,dofs_per_core,assembly_time_s
1,99856.0,4.927065999
2,99904.5,1.723860858
4,99856.0,1.96829353725
8,99904.5,1.952060717625
16,99856.0,1.9424398278125
32,99904.5,2.70499213734375
64,99935.015625,3.9881318793125
128,99960.3828125,7.228668988304688
256,99974.53515625,11.170730861058594
