nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,3,100808.5,1.527077378,1.920826734,0.668521599,0.67093232,0.658547148
2,3,100789.75,1.85041188,1.729394631,0.692569708,0.687785908,0.694426902
4,3,102066.25,2.216698962,1.725697039,0.733675417,0.707485528,0.705489406
8,3,102350.5,2.848088114,1.752501597,0.738899864,0.737585257,0.746425082
16,3,103248.0625,4.234548946,1.821307679,0.784568964,0.762724498,0.774487564
32,3,103254.484375,7.994385134,2.238036795,1.012869116,0.967629545,1.000845421
64,3,103613.59375,16.671897577,4.534036281,1.180542492,1.145594666,1.165362587
128,3,103888.45703125,32.260471185,5.617584898,1.372993943,1.319491528,1.339112392
256,3,103995.779296875,63.385928483,13.606103634,1.222857466,1.45781831,1.245084378
