nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,1,1103900.5,141.730188624,12.43899431,8.830204122,8.793598361,8.883332714
2,1,553770.25,93.923774485,6.998950357,5.055816597,5.031960817,5.045217072
4,1,277786.0,55.541918551,3.989307487,2.564344709,2.570228813,2.565554568
8,1,139547.6875,35.700389956,2.37293515,1.362408106,1.363731305,1.371430882
16,1,70294.59375,26.603919176,1.632510859,0.723220927,0.714776739,0.720479297
32,1,35482.703125,23.965505912,2.248702779,0.445036266,0.443686655,0.437013914
64,1,17986.9375,24.981386377,2.761292006,0.281315096,0.28929657,0.28740657
128,1,9160.171875,27.131193137,4.081511882,0.302624905,0.301116571,0.285841435
256,1,4699.15234375,25.95325297,9.78523365,0.462785896,0.405465814,0.386144841
