nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,1,10000.0,1.518631455,1.415839123,0.075124972,0.074219743,0.074780534
2,1,10220.75,1.695388415,1.143458829,0.081886446,0.08231701,0.083653889
4,1,10347.75,2.002901095,1.097844434,0.085070319,0.085430765,0.087469559
8,1,10419.875,2.559891248,1.105559164,0.094633855,0.090881828,0.091694189
16,1,10523.5625,3.711376345,1.13725883,0.094035995,0.093070615,0.093224496
32,1,10595.4375,7.344363006,1.306264038,0.113703773,0.110792508,0.113831054
64,1,10621.7421875,14.877355673,3.927721954,0.150306834,0.149520065,0.143522762
128,1,10643.44140625,28.838998769,3.784558377,0.227484529,0.188666982,0.186800913
256,1,10656.140625,59.014868753,10.020340436,0.241582906,0.275303178,0.207156094
