nprocs,dofs_per_core,mesh_gen_time_s,assembly_time_s
1,99856.0,15.068417598,3.264331411
2,99904.5,18.662734823,2.1468838205
4,99856.0,22.155028018,2.853954933
8,99904.5,28.297074827,2.092574529
16,99856.0,45.673838168,2.5012331494375
32,99904.5,76.257109942,2.64919433703125
64,99935.015625,167.181301058,4.520391210390625
128,99960.3828125,373.510711946,7.131448759578125
256,99974.53515625,695.636707348,12.343598721167968
