nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,3,100808.5,2.012301025,5.103138316,0.056683294,0.056255672,0.05507416
2,3,100789.75,1.935809185,1.800748015,0.173900561,0.175025091,0.174251094
4,3,102066.25,2.200496959,1.790340258,0.183401894,0.184062678,0.183420018
8,3,102350.5,2.840144339,1.830929651,0.194861876,0.194836465,0.195125577
16,3,103248.0625,4.14147194,1.897274352,0.211286912,0.212018203,0.212142261
32,3,103254.484375,8.070972506,2.389639082,0.26203634,0.287809102,0.292846896
64,3,103613.59375,16.934450182,3.025882846,0.333156287,0.329198941,0.329240115
128,3,103888.45703125,34.464495567,5.455157983,0.399303835,0.400560512,0.43301758
256,3,103995.779296875,64.724416362,14.571868604,0.416594918,0.432479256,0.509853387
