nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,3,1103900.5,15.848000287,10.448333727,9.319817679,9.334483143,9.297806735
2,3,554581.75,10.202005284,5.98248987,4.98790596,4.997453549,4.97192236
4,3,278597.875,6.046867674,3.749794594,2.857444977,2.850366306,2.816541452
8,3,140611.9375,3.900882893,2.30426118,1.459622404,1.448263104,1.448511331
16,3,71025.71875,2.848213457,1.605061542,0.765301015,0.764919876,0.766467807
32,3,36130.375,2.708183232,1.422914146,0.472874408,0.46985448,0.471181066
64,3,18453.9765625,3.669494255,2.165895951,0.299727481,0.302550552,0.306223471
128,3,9494.10546875,7.280514141,3.994393612,0.202492809,0.181390641,0.179036656
256,3,4939.021484375,7.858772698,10.929243892,0.364598862,0.395374138,0.291993595
