nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,3,1009040.5,14.230845696,8.033852058,6.451157175,6.449714856,6.438921406
2,3,1012050.25,18.784970468,8.018617885,6.928735015,6.833526097,6.882648069
4,3,1013399.5,21.936249007,8.241574108,7.129737629,7.122190938,7.175689105
8,3,1015863.0625,28.873838413,8.543763948,7.495014595,7.29371204,7.341735924
16,3,1017910.5625,42.708642978,9.339182393,8.001286932,8.190769331,8.061349602
32,3,1018180.28125,82.413589154,11.034968129,9.523003154,9.539448022,9.621369468
64,3,1018841.3125,166.726957672,14.145325935,11.415020323,11.164336215,11.224085874
128,3,1019450.671875,338.404242558,15.736715032,11.763988868,12.133830518,11.623900024
256,3,1020054.08984375,682.145792088,22.199378745,12.484544716,12.391278285,12.502229901
