nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,3,217597.0,3.146693252,2.857696582,0.128012634,0.129809217,0.131593468
2,3,109963.75,2.048801705,1.867472256,0.146017598,0.146553417,0.146044494
4,3,55558.75,1.211077718,1.371798164,0.113838096,0.114635386,0.113439027
8,3,28361.3125,0.823285701,1.092108753,0.060365064,0.061197779,0.060478745
16,3,14478.25,0.636107458,0.979123922,0.034122308,0.034333522,0.034298062
32,3,7519.328125,1.154106915,1.185379428,0.023235795,0.022478448,0.02273413
64,3,3928.0,1.244967056,1.924934027,0.020824679,0.019442527,0.019671623
128,3,2082.60546875,7.787941702,3.459378846,0.055505957,0.073634907,0.10823954
256,3,1131.943359375,3.239280677,10.28745507,0.214629686,0.204238255,0.210011527
