nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,1,11047364.0,1449.147046477,107.771537035,90.488375619,90.93482864,90.765072565
2,1,5529556.75,999.227157487,61.004878284,50.590079967,50.662916649,50.487217947
4,1,2767456.25,594.927108094,33.846357351,27.695350099,27.558748255,27.527921412
8,1,1386240.6875,393.019302441,16.997313741,14.111109859,14.135964862,14.200934981
16,1,694660.71875,288.893970378,9.600058914,7.954473228,7.588817892,7.58770973
32,1,348517.796875,272.179617319,6.443988622,4.554298961,4.514257187,4.572212887
64,1,174910.15625,264.550887629,5.424810387,2.627106383,2.677065773,2.663388341
128,1,87985.3125,261.135721209,6.403411255,1.748329522,1.454428955,1.473048601
256,1,44346.6796875,261.94493719,9.571280304,0.980296134,0.983850064,1.006904293
