nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,1,220445.0,28.075422227,2.977219253,0.067039469,0.066522043,0.067981786
2,1,110926.25,18.672099381,1.938262834,0.061089725,0.064929945,0.064461123
4,1,55862.625,10.673377423,1.406598527,0.071215638,0.073061815,0.073277946
8,1,28263.0625,7.114626322,1.202575616,0.040310733,0.041825149,0.042926711
16,1,14319.5625,5.181681282,1.01817714,0.024042643,0.02437504,0.023411993
32,1,7329.359375,5.056358813,1.158903407,0.019307865,0.018298,0.020262691
64,1,3762.0390625,5.607665149,1.575168418,0.015257691,0.016127398,0.015139827
128,1,1959.44140625,24.081695761,3.529441874,0.019869767,0.036437565,0.037429227
256,1,1025.625,29.735100668,9.987535989,0.021222106,0.086628938,0.184961237
