nprocs,dofs_per_core,mesh_gen_time_s,assembly_time_s
1,9998244.0,1328.354101821,94.618259084
2,4999122.0,899.731494633,50.1186567425
4,2499561.0,540.345475051,28.47107215425
8,1249780.5,353.034244602,15.247440903125
