nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,1,10000.0,1.307201242,1.036640339,0.077626003,0.076933622,0.077576049
2,1,10220.75,1.670264605,0.926459314,0.092229247,0.091140182,0.094578327
4,1,10347.75,1.980610079,0.920672097,0.093695464,0.096154295,0.0950816
8,1,10419.875,2.582109916,0.916228432,0.104465132,0.105163735,0.103643258
16,1,10523.5625,3.722289897,0.933878566,0.114396461,0.106214114,0.104948455
32,1,10595.4375,6.847704774,1.070681723,0.129510427,0.126501993,0.125574179
64,1,10621.7421875,15.534663198,1.981330347,0.164785734,0.159047142,0.158266863
128,1,10643.44140625,31.67564216,3.770059178,0.260306259,0.242223211,0.243655318
256,1,10656.140625,60.121314486,9.651579196,0.403609626,0.411003925,0.466125292
