nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,1,1009040.5,126.676455491,9.605692957,7.265861107,7.281291016,7.338491341
2,1,1011782.5,174.606101378,10.77552711,8.556060379,8.542408404,8.550194538
4,1,1012950.25,206.71670731,11.083232155,8.953367358,8.817425233,8.829333883
8,1,1013954.6875,279.364486975,11.965915234,9.553929657,9.5036784,9.475076452
16,1,1014551.5625,422.43196498,14.330880273,10.147497862,10.27677657,10.2528771
32,1,1015125.984375,790.859375918,17.109718383,12.492706274,12.497366725,12.504706119
