nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,3,100808.5,2.003491525,2.030238013,0.781268442,0.794094092,0.778383759
2,3,100789.75,1.921377328,1.830093752,0.935778756,0.928631531,0.915874151
4,3,102066.25,2.225183741,1.841063355,1.028813766,0.994510425,1.016831218
8,3,102350.5,2.895355272,1.850151167,1.021013319,1.053385555,1.028543808
16,3,103248.0625,4.16494618,1.900259023,1.060354503,1.051325156,1.059291648
32,3,103254.484375,7.480669888,2.363073973,1.292722778,1.28698864,1.279936369
64,3,103613.59375,16.416921467,3.138449244,1.586727588,1.580302457,1.584986739
128,3,103888.45703125,39.159681301,6.036130259,1.797220419,1.811455112,1.809822489
256,3,103995.779296875,73.427914577,11.253441086,1.940661604,1.950270438,1.940232163
