nprocs,pbs_job_id,degree,dofs_per_core,total_dofs,mesh_gen_time_s,run0,run1,run2,run3
1,552344.pbs-6,3,956336.5,1000000,32.271671581,11.790479108,10.541989479,10.60287901,10.56975284
2,552344.pbs-6,3,478168.25,1000000,20.148311524,7.664154616,6.69818076,6.631880372,6.553255187
4,552344.pbs-6,3,239084.125,1000000,11.885217565,4.524427162,3.658643174,3.629039993,3.616713473
8,552344.pbs-6,3,119542.0625,1000000,7.735236072,2.86727119,1.953023952,1.952974404,1.964524691
16,552344.pbs-6,3,59771.03125,1000000,6.43331899,1.938075966,1.011113765,1.012986652,1.013682084
32,552344.pbs-6,3,29885.515625,1000000,5.973902154,1.780460261,0.676089792,0.742378919,0.746792889
64,552344.pbs-6,3,14942.7578125,1000000,6.311466927,1.984345349,0.434233563,0.441308362,0.437073216
128,552344.pbs-6,3,7471.37890625,1000000,11.831008418,2.187476314,0.534193362,0.605092529,0.600036444
256,552344.pbs-6,3,3735.689453125,1000000,14.384422119,2.602203556,0.841473404,0.760576782,0.777655495
