nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,1,9261.0,7.817007407,1.291966987,0.107658703,0.105958786,0.104479419
2,1,10694.0,10.532563547,1.018069355,0.127675479,0.12659701,0.130629812
4,1,11253.125,12.435829989,0.996962872,0.139944765,0.143802644,0.142035333
8,1,11628.0,16.629550855,1.314630579,0.156914989,0.158777377,0.159743065
16,1,12020.65625,23.814176452,1.03272475,0.167585835,0.165704846,0.165912826
32,1,12346.359375,43.798369612,1.208014643,0.194073412,0.202618216,0.201430566
64,1,12735.65625,96.128405132,2.137442038,0.29010567,0.36603766,0.295440705
128,1,12901.109375,202.889585182,2.28450125,0.315306756,0.379457853,0.386327499
256,1,13016.396484375,493.660501329,2.823702185,1.018493092,0.943568275,0.839701121
