nprocs,degree,dofs_per_core,mesh_gen_time_s,apply0,apply1,apply2,apply3
1,3,8753.5,0.548890696,0.007495078,0.007030765,0.00805388,0.00697617
2,3,9394.25,0.490218118,0.007887702,0.007386077,0.008518208,0.007308909
4,3,11244.625,0.673667792,0.008625377,0.007685063,0.009315066,0.009117935
8,3,11052.6875,0.855559291,0.009322785,0.008380064,0.009431142,0.009571651
16,3,9593.21875,1.125802842,0.009458419,0.008319357,0.009994314,0.009754681
32,3,10058.796875,2.467426165,0.010743772,0.011002824,0.012256102,0.012634991
64,3,10121.8515625,4.252988066,0.017452454,0.013031402,0.018032236,0.021093299
128,3,9711.11328125,18.91837363,0.018495377,0.016092771,0.020117312,0.060443397
256,3,10158.349609375,26.675310048,0.021236753,0.017541457,0.020700609,0.018627056
