nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,1,9261.0,7.894276615,1.81806426,0.102320175,0.100366809,0.099981918
2,1,10694.0,10.483978458,1.272684647,0.125511888,0.123271915,0.122157707
4,1,11253.125,12.499432139,1.714425543,0.129728669,0.130939072,0.130533284
8,1,11628.0,16.674671264,1.24715468,0.141483911,0.14120699,0.142133557
16,1,12020.65625,25.133738286,1.23122738,0.15374878,0.153271527,0.153336384
32,1,12346.359375,47.175416031,1.570426407,0.173929163,0.175497849,0.189678864
64,1,12735.65625,97.646773535,2.753324716,0.227753599,0.241840183,0.237699533
128,1,12901.109375,215.92800626,3.007798222,0.379390517,0.260572148,0.274899763
256,1,13016.396484375,531.862281699,3.584651841,0.451369249,0.515739067,0.500934056
