nprocs,degree,dofs_per_core,mesh_gen_time_s,apply0,apply1,apply2,apply3
1,1,9954.5,8.625118704,0.00712658,0.006851228,0.006775971,0.006733158
2,1,10408.75,11.19427246,0.00743939,0.007008002,0.006914435,0.006916666
4,1,10272.375,12.988750718,0.007609191,0.007218379,0.007060203,0.006997628
8,1,10293.1875,17.715511341,0.007796124,0.007299444,0.007164892,0.007090171
16,1,10119.96875,26.136929581,0.008163258,0.007815647,0.007668183,0.00755473
32,1,10045.953125,45.995501516,0.00957042,0.010404689,0.009351302,0.010027649
64,1,10113.7421875,100.143057306,0.012283797,0.01225935,0.011099281,0.011575065
128,1,10119.96875,218.421509655,0.01888161,0.014509271,0.012688398,0.052024825
256,1,10045.953125,500.061648501,0.014852644,0.012699074,0.012844317,0.013130034
