nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,1,97336.0,86.331776533,3.742701219,1.122502377,1.114853158,1.121139277
2,1,102066.0,108.748194121,3.836566681,1.210520084,1.218381009,1.206255718
4,1,104330.25,129.242328892,3.071279667,1.265659856,1.238440688,1.260763141
8,1,105958.5,167.002251263,4.542070708,1.58996567,1.578808331,1.569126428
16,1,109523.625,249.747501581,3.884867684,1.633336766,1.62700036,1.645539718
32,1,112219.5,487.929873247,4.051851682,2.125739997,2.118558326,2.132983759
64,1,112678.7109375,1034.547817198,6.084581323,2.639635453,2.681754142,2.698706847
128,1,114176.15234375,2296.816832568,6.59037401,2.972444614,2.98810728,2.909864974
