nprocs,degree,dofs_per_core,mesh_gen_time_s,apply0,apply1,apply2,apply3
1,1,100579.5,88.507101406,0.002960536,0.002700409,0.002626153,0.002584513
2,1,100122.75,112.417515656,0.004227436,0.003211549,0.003146408,0.003099951
4,1,99280.125,129.313582269,0.004422915,0.003319622,0.00330583,0.003244352
8,1,98940.3125,170.68075151,0.00470841,0.003445086,0.003358061,0.003370504
16,1,100122.75,255.6226495,0.004852052,0.004074737,0.003815576,0.003814111
32,1,101319.875,500.502539863,0.00658421,0.006028531,0.005566752,0.005584689
64,1,100553.34375,1018.051304433,0.007182302,0.006087595,0.006107498,0.007052982
128,1,100756.22265625,2155.780968765,0.008021406,0.006483693,0.006356877,0.006359057
