nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,3,97336.0,3.515771575,2.159826861,0.012894517,0.012115336,0.012175186
2,3,103785.5,4.614607299,2.04634767,0.013359983,0.012612264,0.013152523
4,3,106951.75,4.909002358,2.007306063,0.014333687,0.013298625,0.013950818
8,3,105546.8125,6.133611428,2.076605369,0.015470695,0.014601019,0.014878733
16,3,110200.34375,8.965964204,2.182517633,0.018646014,0.016909901,0.016991083
32,3,112109.640625,17.71002055,2.937684729,0.023028143,0.021370687,0.021332257
64,3,116192.6328125,34.515409661,3.696963157,0.028464422,0.02711601,0.025815373
128,3,117926.00390625,74.330134617,4.610261573,0.042602108,0.03659177,0.032513049
256,3,118469.05078125,181.934730995,4.888456421,0.034791068,0.036315749,0.034384597
