nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,3,6859.0,0.587548957,1.895787225,0.066837977,0.065252306,0.0658549
2,3,8808.0,0.486993527,1.369127816,0.084928929,0.08451427,0.086077883
4,3,11792.25,0.589816786,1.162048155,0.117190324,0.115450386,0.116543417
8,3,12800.625,1.533299381,1.155623729,0.133144042,0.131898093,0.134442463
16,3,11796.53125,1.650182327,1.170121718,0.126404347,0.125578463,0.126482519
32,3,12932.140625,1.84544331,1.372073849,0.164246376,0.161253527,0.162121419
64,3,13538.953125,4.059370633,2.026152215,0.221814557,0.205668568,0.219521977
128,3,13512.92578125,20.144067789,3.095075502,0.465328638,0.239115374,0.331932762
256,3,14437.482421875,18.433897298,3.581250115,0.546741254,0.496540804,0.457621637
