nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,3,912673.0,31.2239386,11.142452227,9.891231357,9.884693555,9.908441263
2,3,983090.25,40.839236419,15.426761581,13.55580417,13.673876647,13.509455045
4,3,1013282.5,48.277952306,15.675929476,14.706904819,14.471550454,14.574618427
8,3,1046494.6875,63.8054961,15.499062245,14.372368468,14.319008952,14.284141999
16,3,1049834.09375,102.720727686,21.069532475,18.283140853,18.234760024,18.254213645
32,3,1086278.59375,173.442567393,25.074977926,22.182686668,22.549149176,27.114328592
