nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,1,97336.0,87.811228472,6.198037722,0.032268836,0.030714302,0.030970029
2,1,102066.0,109.691688526,2.628168367,0.053794866,0.053847717,0.053908776
4,1,104330.25,128.671558621,2.677128045,0.056338256,0.057750281,0.057289515
8,1,105958.5,166.629536167,2.950468622,0.15903472,0.158820395,0.158822968
16,1,109523.625,249.989569371,3.410406667,0.166618967,0.168440707,0.167407406
32,1,112219.5,485.455762526,4.060988097,0.236123531,0.207379469,0.20842134
