nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,3,1051844.5,36.207667156,14.936468036,12.603838481,12.647755795,12.667866707
2,3,544591.0,22.638050907,9.214263424,7.705914058,7.517328247,7.64211495
4,3,281761.875,13.292357517,5.924826089,4.276805305,4.203668121,4.217213657
8,3,146994.375,8.681738938,3.346647379,2.292526751,2.301570713,2.285093118
16,3,77192.15625,6.322888462,2.043540736,1.203925176,1.194488223,1.193462879
32,3,41006.71875,6.187421598,1.84685599,0.774724159,0.837125599,0.822238031
64,3,22124.703125,7.162249436,1.955939104,0.486623587,0.498398927,0.505436433
128,3,12118.73046875,16.757516846,2.776259298,0.46678974,0.434845236,0.488562662
256,3,6738.951171875,10.045107302,2.622845565,0.794136427,0.691219816,0.751717565
