nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,1,1115005.5,1044.183096361,22.339768884,15.050040226,14.793904373,14.79983193
2,1,571511.5,649.267689113,12.583534207,8.22858388,8.156197434,8.087384308
4,1,292406.25,374.992510985,6.85690175,4.342867188,4.393218602,4.455458586
8,1,149999.4375,244.458441474,4.227015768,2.336193298,2.359610246,2.367502375
16,1,77828.5625,173.867389951,2.891815545,1.260742965,1.253152133,1.255032281
32,1,40528.125,156.892550548,2.401689572,0.753865071,0.744868278,0.730756647
64,1,21340.34375,176.491105694,2.441319464,0.456143452,0.479287439,0.474973522
128,1,11372.43359375,175.905508651,2.600521033,0.336289094,0.399873159,0.384999823
256,1,6112.77734375,205.784980014,2.511071138,0.361430676,0.471416634,0.311626616
