nprocs,degree,dofs_per_core,mesh_gen_time_s,apply0,apply1,apply2,apply3
1,1,9954.5,8.903583459,0.001157956,0.00091988,0.000848089,0.000891213
2,1,10408.75,11.144623824,0.001369953,0.001010732,0.000980345,0.001179479
4,1,10272.375,13.341254948,0.001402298,0.001082152,0.001214973,0.001022551
8,1,10293.1875,18.046127493,0.001603993,0.001153367,0.001073857,0.00104553
16,1,10119.96875,24.765813784,0.00201982,0.001350078,0.001417821,0.001192583
32,1,10045.953125,47.543918448,0.002468237,0.001505838,0.001354589,0.001077842
64,1,10113.7421875,94.142874271,0.0030042,0.002127857,0.001602077,0.001757807
128,1,10119.96875,217.523742789,0.002582349,0.002072085,0.001898306,0.002026203
256,1,10045.953125,472.032934142,0.004595005,0.002332343,0.002123496,0.002168101
