nprocs,degree,dofs_per_core,mesh_gen_time_s,apply0,apply1,apply2,apply3
1,3,956336.5,33.541563226,0.079347251,0.082625404,0.079913315,0.07735779
2,3,988751.75,41.658078679,0.096476294,0.095496591,0.097436132,0.09682991
4,3,995736.625,50.560516784,0.105665309,0.104298328,0.105114219,0.104709233
8,3,1007687.9375,65.600550157,0.120715257,0.12056135,0.121669398,0.121467908
16,3,994352.40625,94.191160195,0.137525791,0.136779748,0.137779954,0.137420037
32,3,1014699.125,168.636310005,0.187459483,0.186551446,0.188716271,0.190243518
64,3,1000168.75,314.890465777,0.188515775,0.186199977,0.186965526,0.187957665
128,3,1006259.84375,662.102822676,0.203649006,0.203095609,0.207684512,0.20972697
256,3,1016968.380859375,2119.33269166,0.2339075,0.23851673,0.24598907,0.241759127
