nprocs,degree,dofs_per_core,mesh_gen_time_s,run0,run1,run2,run3
1,3,97336.0,3.59098406,5.250742783,0.102848453,0.100850618,0.10075912
2,3,103785.5,4.232846585,2.11975986,0.131147681,0.129652048,0.130973949
4,3,106951.75,4.933810141,2.217279297,0.258609596,0.260551777,0.260910966
8,3,105546.8125,6.146478981,2.286407861,0.28064171,0.281368983,0.280725026
16,3,110200.34375,9.017487492,2.464514251,0.313581843,0.315715107,0.311962063
32,3,112109.640625,17.65518002,3.133073093,0.408923253,0.37196022,0.392338587
64,3,116192.6328125,35.779902066,4.250372963,0.782650911,0.487389599,0.495070414
128,3,117926.00390625,73.163927994,5.014204718,0.732349156,0.755034436,0.763380781
256,3,118469.05078125,182.884126423,5.578773505,0.770073285,0.786215456,0.860128668
